kepid,period
7533807,0.316845
7541502,44.827323
7542091,0.390499
7546429,0.352121
7546791,0.242362
7549265,1.962432
7552344,2.001481
7584739,0.911558
7584826,0.622309
7590728,0.476722
7591456,5.835751
7593110,3.549384
7597095,0.301206
7597703,9.217803
7598128,44.258173
7599004,4.822893
7601633,15.663873
7601767,0.486734
7605600,3.326193
7610340,1.517695
7610486,0.457679
7620664,0.683718
7620844,58.62157
7622059,10.403262
7622486,2.279996
7622486,40.246503
7624297,18.019652
7627059,0.32365
7630658,2.151135
7630690,0.886563
7657914,0.474546
7660607,2.763401
7668648,27.81859
7670485,8.467706
7670617,24.703844
7671594,1.410348
7672068,16.836177
7672940,1064.27
7674050,472.222
7676610,1.225675
7677005,38.058139
7678434,10.371692
7680593,0.276392
7681230,0.962591
7684873,2.947363
7685689,0.32516
7686918,2.518834
7690843,0.786261
7691527,4.800231
7691553,0.348308
7695093,4.032768
7696778,0.331236
7697065,0.272766
7698650,0.599155
7700181,0.363698
7700578,1.507106
7707742,0.758354
7708193,7.94245
7709086,0.409475
7732791,2.064135
7733540,0.772582
7733731,4.858095
7740302,1.153509
7740566,0.297063
7743464,55.249014
7744173,0.398528
7748113,1.734663
7749504,0.566244
7750740,5.874198
7751562,17.042159
7763269,6.407929
7765894,3.204542
7766185,0.835457
7767559,4.409409
7767733,25.198302
7767774,0.173388
7768447,122.5
7769072,0.608863
7770471,1.157805
7770569,903.59
7773380,0.307578
7777443,0.885125
7778437,5.014232
7798259,1.734222
7799540,60.0
7802136,10.980246
7811211,0.902406
7812175,17.793925
7812455,0.903582
7813039,141.73378
7816201,0.574957
7816680,8.585198
7818448,0.618952
7821010,24.238243
7821450,0.314762
7830321,2.027396
7830460,3.39775
7830637,121.599181
7831363,2.817258
7833144,2.247734
7835348,0.664062
7836330,0.65839
7837302,23.837136
7837526,28.29721
7838639,4.226395
7838906,5.614949
7839027,0.720693
7840035,13.5421
7842610,1.943865
7846730,11.028227
7847927,70.376267
7866921,91.499889
7871200,0.242904
7877062,0.303652
7877824,9.449426
7878402,0.374351
7879399,0.392697
7881722,0.953289
7884426,0.296732
7884842,1.314548
7885570,1.729337
7886329,0.567494
7887124,32.486427
7889628,0.342396
7890379,0.345127
7897952,66.991639
7898576,8.646898
7905209,0.419554
